#CODE;UKRAINIAN;x
EVTDESCB_ZE_14200;I have finished my education in the ways of war. It is a fascinating subject.;x
EVTDESCC_ZE_14200;I have finished my education in the ways of war. I find that I have some talent for it.;x
EVTDESCD_ZE_14200;I have finished my education in the ways of war. I feel that I have truly found my calling.;x
EVTOPTA_ZE_14200;Courage is all a soldier needs.;x
EVTOPTB_ZE_14200;Know your enemy.;x
EVTOPTC_ZE_14200;It is wise to attack the enemy's strategy.;x
EVTOPTD_ZE_14200;War is a continuation of politics.;x
EVTDESCA_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It turned out less well than expected.;x
EVTDESCB_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It seems [From.GetSheHe] has learned all the basic skills required.;x
EVTDESCC_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;x
EVTDESCD_ZE_14210;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;x
EVTDESCA_ZE_14300;I have finished my education in stewardship. I found the lessons rather tedious.;x
EVTDESCB_ZE_14300;I have finished my education in stewardship. It is a fascinating subject.;x
EVTDESCC_ZE_14300;I have finished my education in stewardship. I find that I have some talent for it.;x
EVTDESCD_ZE_14300;I have finished my education in stewardship. I feel that I have truly found my calling.;x
EVTOPTA_ZE_14300;How hard can it be?;x
EVTOPTB_ZE_14300;A coin saved is a coin earned.;x
EVTOPTC_ZE_14300;Accumulate! Accumulate!;x
EVTOPTD_ZE_14300;Wealth is the slave of a wise man, and the master of a fool.;x
EVTDESCA_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It turned out less well than expected.;x
EVTDESCB_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It seems [From.GetSheHe] has learned all the basic skills required.;x
EVTDESCC_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;x
EVTDESCD_ZE_14310;Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;x
EVTDESCA_ZE_14400;I have finished my education in the ways of intrigue. I found the lessons rather tedious.;x
EVTDESCB_ZE_14400;I have finished my education in the ways of intrigue. It is a fascinating subject.;x
EVTDESCC_ZE_14400;I have finished my education in the ways of intrigue. I find that I have some talent for it.;x
EVTDESCD_ZE_14400;I have finished my education in the ways of intrigue. I feel that I have truly found my calling.;x
EVTOPTA_ZE_14400;Intrigue must be conducted with honor.;x
EVTOPTB_ZE_14400;Never interrupt your enemy when [Root.GetSheHe] is making a mistake.;x
EVTOPTC_ZE_14400;To subdue the enemy without fighting is supreme.;x
EVTOPTD_ZE_14400;Events which can not be prevented must be directed.;x
EVTDESCA_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It turned out less well than expected.;x
EVTDESCB_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It seems [From.GetSheHe] has learned all the basic skills required.;x
EVTDESCC_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;x
EVTDESCD_ZE_14410;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;x
EVTDESCA_ZE_14500;I have finished my education in the ways of faith and learning. I found the lessons rather tedious.;x
EVTDESCB_ZE_14500;I have finished my education in the ways of faith and learning. It is a fascinating subject.;x
EVTDESCC_ZE_14500;I have finished my education in the ways of faith and learning. I find that I have some talent for it.;x
EVTDESCD_ZE_14500;I have finished my education in the ways of faith and learning. I feel that I have truly found my calling.;x
EVTOPTA_ZE_14500;Learning is dull but important.;x
EVTOPTB_ZE_14500;The world is a book.;x
EVTOPTC_ZE_14500;Learning never exhausts the mind.;x
EVTOPTD_ZE_14500;A room without books is like a body without a soul.;x
EVTDESCA_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It turned out less well than expected.;x
EVTDESCB_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It seems [From.GetSheHe] has learned all the basic skills required.;x
EVTDESCC_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;x
EVTDESCD_ZE_14510;Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;x
mysterious_charm;Mysterious Charm;x
mysterious_charm_desc;This character doesn't talk much, but there is something interesting about them...;x
EVTDESCA_ZE_12010;I have seen [affectionate_events_char_1.GetFirstName] looking at my new wooden toy animals.;x
EVTDESCB_ZE_12010;My nannies are away and as I roam around the grounds I come upon [affectionate_events_char_1.GetTitledFirstName]. [affectionate_events_char_1.GetSheHeCap] looks up and seems interested in conversation.;x
EVTDESCC_ZE_12010;As I am out playing by myself and taking a break to eat some bread I brought from the kitchens, I suddenly notice a young peasant child staring at me. [Root.GetSheHeCap] looks hungry.;x
EVTOPTA_ZE_12010;I could let [affectionate_events_char_1.GetHerHim] play with them.;x
EVTOPTB_ZE_12010;Yes, I have nicer toys than [affectionate_events_char_1.GetHerHim].;x
EVTOPTC_ZE_12010;I'll talk to [affectionate_events_char_1.GetHerHim]!;x
EVTOPTD_ZE_12010;I'll stick my tongue out at [affectionate_events_char_1.GetHerHim] and run away!;x
EVTOPTE_ZE_12010;I'll share my bread with [Root.GetHerHim]!;x
EVTOPTF_ZE_12010;I'll leave before [Root.GetSheHe] tries to steal from me!;x
EVTOPTE_ZE_12010_TOOLTIP1;You do a good deed.;x
EVTOPTE_ZE_12010_TOOLTIP2;You do a good deed, but someone sees you...;x
EVTDESCA_ZE_12012;[From.GetFirstName] has much nicer toys than me, and [From.GetSheHe] asked me if I want to play with them.;x
EVTDESCB_ZE_12012;[From.GetFirstName] has really nice toys but [From.GetSheHe] won't share them with me.;x
EVTDESCC_ZE_12012;Young [From.GetTitledFirstName] just walked up to me today, striking up conversation. We ended up having a long talk, about a great many things.;x
EVTDESCD_ZE_12012;Young [From.GetTitledFirstName] just walked up to me today, and as I was about to greet [From.GetHerHim], [From.GetSheHe] just stuck [From.GetHerHis] tongue out and ran away...;x
EVTOPTA_ZE_12012;Yes, that would be nice!;x
EVTOPTB_ZE_12012;No, those toys are silly anyway!;x
EVTOPTC_ZE_12012;I hate [From.GetHerHim]!;x
EVTOPTD_ZE_12012;How nice!;x
EVTOPTE_ZE_12012;Begone, [GetRootFromInsult]!;x
EVTOPTF_ZE_12012;What a strange child.;x
EVTDESCA_ZE_12014;[From.GetFirstName] and me played all day with my toys.;x
EVTDESCB_ZE_12014;I talked for a long while with [From.GetTitledFirstName]. [From.GetSheHeCap] had many funny things to tell me and we had a really good time.;x
EVTDESCC_ZE_12014;You shared your bread with the peasant child, and then you played together for several hours before parting ways. [Root.GetSheHeCap] waved happily as [Root.GetSheHe] ran home.;x
EVTDESCD_ZE_12014;You shared your bread with the child and then you played together for a while, until your nannies came and angrily interrupted you. As your friend ran away, the nannies said they'd tell [Educator.GetTitledFirstName] that you had been bad.;x
EVTOPTA_ZE_12014;It's so nice to share with others!;x
EVTOPTB_ZE_12014;Let's play again soon!;x
EVTOPTC_ZE_12014;I want more friends like this!;x
EVTOPTD_ZE_12014;I'll come see you again tomorrow!;x
EVTOPTE_ZE_12014;This was fun!;x
EVTOPTF_ZE_12014;But [Root.GetSheHe] is my friend!;x
EVTDESCA_ZE_12016;[From.GetFirstName] let me play with [From.GetHerHis] toys all day and it was so much fun.;x
EVTDESCB_ZE_12016;I spoke at length with [From.GetFirstName] about a great many things. We laughed a lot, and it seems I have made a new friend.;x
EVTOPTA_ZE_12016;Let's play again sometime!;x
EVTOPTB_ZE_12016;What a nice child!;x
EVTDESCA_ZE_12020;I saw [timid_events_char_1.GetTitledFirstName] being chided publicly for stealing food from the personal stores of the [Root.Liege.GetTitle], but I know [timid_events_char_1.GetSheHe] was elsewhere at the time.;x
EVTDESCB_ZE_12020;[timid_events_char_1.GetFirstName] seems very nice. Maybe I should ask if [timid_events_char_1.GetSheHe] wants to play?;x
EVTDESCC_ZE_12020;There's a big dinner feast tonight with many prominent people invited, and it has been decided that I shall perform a song in praise of [Root.Religion.GetRandomGodName] for the guests.;x
EVTOPTA_ZE_12020;No one would listen to me anyway...;x
EVTOPTB_ZE_12020;I must speak up for [timid_events_char_1.GetHerHim]!;x
EVTOPTC_ZE_12020;I'll wait a little, [timid_events_char_1.GetSheHe] could come to me...;x
EVTOPTD_ZE_12020;Yes, we should play!;x
EVTOPTE_ZE_12020;No way!;x
EVTOPTF_ZE_12020;Yes, I will sing.;x
EVTOPTE_ZE_12020_TOOLTIP1;Guests are amused.;x
EVTOPTE_ZE_12020_TOOLTIP2;Guests are offended.;x
EVTDESCA_ZE_12022;I was wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. I also know that young [From.GetFirstName] can confirm I was elsewhere when it happened, but [From.GetSheHe] has refused to step forward and confirm my innocence.;x
EVTDESCB_ZE_12022;I was strangely and wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. However, young [From.GetFirstName] stepped forward to confirm that I was elsewhere at the time and so the suspicions against me were lifted.;x
EVTDESCC_ZE_12022;[From.GetFirstName] seems to be checking me out, but doesn't come over and talk.;x
EVTDESCD_ZE_12022;[From.GetFirstName] came over to me and said [From.GetSheHe] wanted us to be friends!;x
EVTOPTA_ZE_12022;The little wretch!;x
EVTOPTB_ZE_12022;Alas, I cannot blame the child for being timid.;x
EVTOPTC_ZE_12022;All is good then!;x
EVTOPTD_ZE_12022;I'll go and talk to [From.GetHerHim]!;x
EVTOPTE_ZE_12022;What's [From.GetSheHe] staring at? It's annoying!;x
EVTOPTF_ZE_12022;How nice!;x
EVTDESCA_ZE_12024;[From.GetTitledFirstName] is very angry with me for not speaking up in [From.GetHerHis] defence.;x
EVTDESCB_ZE_12024;[From.GetFirstName] came over and talked to me, asking if I wanted to be friends.;x
EVTDESCC_ZE_12024;A roar of laughter rolled through the hall when the guests were told that I had hid in a chest in order to avoid having to sing for them. Several of them then called me over and offered me food and candies.;x
EVTDESCD_ZE_12024;The guests were all very offended at my refusal to sing for them.;x
EVTOPTA_ZE_12024;What? It's not my problem!;x
EVTOPTB_ZE_12024;I should step forward now, it's not too late!;x
EVTOPTC_ZE_12024;Umm... no, I have to go.;x
EVTOPTD_ZE_12024;Yes, let's play!;x
EVTOPTE_ZE_12024;Oh yes!;x
EVTOPTF_ZE_12024;I don't care.;x
EVTDESCA_ZE_12026;Since [From.GetFirstName] refused to defend me, many people think I'm a thief and I have lost prestige at court.;x
EVTDESCB_ZE_12026;[From.GetFirstName] eventually stepped forward to defend my honor.;x
EVTOPTA_ZE_12026;I shall remember this.;x
EVTOPTB_ZE_12026;I can tell it took courage to speak up.;x
EVTDESCA_ZE_12030;[rowdy_events_char_1.GetFirstName] is always so annoying. I think [rowdy_events_char_1.GetSheHe] tries to win against me in games just to spite me!;x
EVTDESCB_ZE_12030;There are so many fun things to do, so many forbidden things. I wonder if [rowdy_events_char_1.GetFirstName] would like to join me in some fun pranks?;x
EVTOPTA_ZE_12030;I'll tell [rowdy_events_char_1.GetHerHim] to stop!;x
EVTOPTA_ZE_12030_TOOLTIP1;The matter escalates...\n;x
EVTOPTB_ZE_12030;It doesn't matter, [rowdy_events_char_1.GetSheHe] can win.;x
EVTOPTC_ZE_12030;I'll ask [rowdy_events_char_1.GetHerHim]!;x
EVTOPTD_ZE_12030;Or maybe we should just play dice instead.;x
EVTDESCA_ZE_12032;[From.GetFirstName] is angry with me because I am always winning against [rowdy_events_char_1.GetHerHim] in games.;x
EVTDESCB_ZE_12032;[From.GetFirstName] seems content to let me win when we play games.;x
EVTDESCC_ZE_12032;[From.GetFirstName] excitedly asks me if I wanted to come along and do forbidden things, pranks and the like.;x
EVTDESCD_ZE_12032;[From.GetFirstName] asks me if I wanted to play dice.;x
EVTOPTA_ZE_12032;I'll tell [From.GetHerHim] to get lost!;x
EVTOPTB_ZE_12032;I'll just avoid [From.GetHerHim] from now on.;x
EVTOPTC_ZE_12032;That's all fine then.;x
EVTOPTD_ZE_12032;Yes!;x
EVTOPTE_ZE_12032;No, I'm a good [Root.GetBoyGirl].;x
EVTOPTF_ZE_12032;Sounds like fun!;x
EVTDESCA_ZE_12034;[From.GetFirstName] got angry and told me to get lost!;x
EVTDESCB_ZE_12034;[From.GetFirstName] joined me and we did all kinds of pranks and tricks, everything except summoning [Root.Religion.GetRandomEvilGodName]!;x
EVTDESCB2_ZE_12034;[From.GetFirstName] didn't want to play.;x
EVTOPTE_ZE_12034;What a shame.;x
EVTOPTA_ZE_12034;Fist fiiiiight!;x
EVTOPTB_ZE_12034;I'll walk away, it's not worth it.;x
EVTOPTC_ZE_12034;We should do this every day!;x
EVTOPTD_ZE_12034;That was fun, now let's play dice.;x
EVTDESCA_ZE_12036;[From.GetFirstName] went crazy and started a fist fight with me!;x
EVTDESCB_ZE_12036;Me and [From.GetFirstName] did all kinds of crazy and forbidden things. It was fun!;x
EVTOPTA_ZE_12036;Come on then, you [GetRootFromInsult]!;x
EVTOPTB_ZE_12036;Let's do it again sometime!;x
playing_dice;Playing Dice;x
playing_dice_desc;Playing dice successfully requires a sharp eye and a quick mind.;x
EVTDESCC_ZE_12030;We are playing outside today, and several of the other children are daring me to climb the tallest watchtower.;x
EVTOPTE_ZE_12030;I'm not afraid!;x
EVTOPTE_ZE_12030_TOOLTIP1;Slipped while climbing.;x
EVTOPTE_ZE_12030_TOOLTIP2;Up and down like a squirrel.;x
EVTOPTF_ZE_12030;No... it's too high.;x
EVTDESCC_ZE_12034;I rapidly climbed up to the top of the tower. But when climbing down again, I slipped. The fall was very painful, but luckily I wasn't very high up.;x
EVTDESCD_ZE_12034;Agile as a squirrel, I rapidly climbed up the tower and then down again. Everyone was very impressed.;x
EVTOPTF_ZE_12034;Owww!;x
EVTOPTG_ZE_12034;Ha!;x
EVTDESC_ZE_12230;Languishing in the dungeon, I have realized that there is someone in the cell next to me. I can hear [event_ze_12230_prisoner.GetHerHim] sighing, coughing and complaining sometimes.;x
EVTOPTA_ZE_12230;I'll try and talk to [event_ze_12230_prisoner.GetHerHim]!;x
EVTOPTB_ZE_12230;What's the point?;x
EVTDESCA_ZE_12232;Languishing in the dungeon, I suddenly one day hear a small voice calling to me. It seems there is a young child in the cell next to mine...;x
EVTDESCB_ZE_12232;Languishing in the dungeon, I suddenly one day hear a voice calling out. It seems there is another child in these dungeons, in the cell next to mine...;x
EVTOPTA_ZE_12232;Finally someone to talk to!;x
EVTOPTB_ZE_12232;I have no need for friends here.;x
EVTDESC_ZE_12234;It turns out that my fellow prisoner's name is [From.GetTitledName]. We have had many whispered conversations in the darkness, quickly becoming friends under these dismal circumstances.;x
EVTOPTA_ZE_12234;I feel less lonely now.;x
EVTDESC_ZE_12236;My attemps to make contact with the other prisoner were met only with silence.;x
EVTOPTA_ZE_12236;Everybody hates me.;x
pet_rat_dungeon;Pet Rat;x
pet_rat_dungeon_desc;This character has befriended a rat in the dungeon.;x
EVTDESC_ZE_12210;Languishing in the dungeon, you have recently made a new friend. It's a small, scruffy rat that keeps coming up to you and cuddling up in your lap.;x
EVTOPTA_ZE_12210;I name you Flipper.;x
EVTOPTB_ZE_12210;I name you Cuddles.;x
EVTOPTC_ZE_12210;I name you Smelly.;x
EVTOPTD_ZE_12210;Hello, food...;x
EVTDESCA_ZE_12211;Recently, you notice that there is something wrong with Flipper. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.;x
EVTDESCB_ZE_12211;Recently, you notice that there is something wrong with Cuddles. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.;x
EVTDESCC_ZE_12211;Recently, you notice that there is something wrong with Smelly. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.;x
EVTOPTA_ZE_12211;I'll share my food with [Root.GetHerHim].;x
EVTOPTB_ZE_12211;There's not enough.;x
rat_dies_tooltip_1;Flipper dies!;x
rat_dies_tooltip_2;Cuddles dies!;x
rat_dies_tooltip_3;Smelly dies!;x
EVTDESCA_ZE_12219;As the guards release you from the dungeon, you take one last look back. You see Flipper staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.;x
EVTDESCB_ZE_12219;As the guards release you from the dungeon, you take one last look back. You see Cuddles staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.;x
EVTDESCC_ZE_12219;As the guards release you from the dungeon, you take one last look back. You see Smelly staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.;x
EVTOPTA_ZE_12219;I'll never forget you, Flipper!;x
EVTOPTB_ZE_12219;I'll never forget you, Cuddles!;x
EVTOPTC_ZE_12219;I'll never forget you, Smelly!;x
EVTDESC_ZE_12220;Languishing in my dungeon, one night I suddenly wake up with a cold feeling of apprehension. As I stare into the darkness, a hissing, evil voice speaks to me: 'I am the Dread King of Darkness. This dungeon is my realm, and I demand that you serve me.'.;x
EVTOPTA_ZE_12220;Yes, I will serve you!;x
EVTOPTB_ZE_12220;Never!;x
EVTDESC_ZE_12221;Late one night, the Dread King of Darkness appears to me again: 'Servant! You must find me the three dark stones of sorcery. They have been stolen from me and hidden in this dungeon. Know that I do not abide failure!';x
EVTOPTA_ZE_12221;I will use force to find them!;x
EVTOPTB_ZE_12221;I shall use my cunning!;x
EVTDESC_ZE_12222;Eventually, I managed to recover the three dark stones of sorcery for the Dread King of Darkness. They only look like three ordinary little stones, but surely the King will be pleased.;x
EVTOPTA_ZE_12222;I am a hero, his most valuable servant!;x
EVTDESC_ZE_12223;I never managed to recover the three dark stones of sorcery. I now fear that the Dread King of Darkness will come and punish me for my failure.;x
EVTOPTA_ZE_12223;If I hide in the corner maybe he won't find me.;x
EVTDESC_ZE_12225;My war with the Dread King of Darkness has begun. Every night he sends his legions of ghosts and shadows to assault me.;x
EVTOPTA_ZE_12225;I must strike back with all my power!;x
EVTOPTB_ZE_12225;I must evade, dodge and use my cunning!;x
EVTDESC_ZE_12226;In my valiant nightly battles against the Dread King of Darkness, I have finally reached the tipping point and forced my enemy to his knees.;x
EVTOPTA_ZE_12226;I rule in this dungeon!;x
EVTDESC_ZE_12227;I am exhausted from my nightly battles with the Dread King of Darkness, yet he is steadily advancing against me. It seems that the time for surrender has come.;x
EVTOPTA_ZE_12227;I should never have challenged him!;x
12220_submit_to_king;Submits to the Dread King of Darkness.;x
12220_fight_king;Fights the Dread King of Darkness.;x
found_dark_stones;Dark Stones of Sorcery;x
found_dark_stones_desc;This character has imagined strange and fantastic adventures in the dungeons, finding the Dark Stones of Sorcery.;x
defeated_dread_king;Defeated the Dread King of Darkness;x
defeated_dread_king_desc;This character has imagined strange and fantastic adventures in the dungeons, defeating the Dread King of Darkness.;x
dread_king_martial_tooltip;Apply martial skill.;x
dread_king_intrigue_tooltip;Apply intrigue skill.;x
CHILDHOOD_FOCUS_PRIDE;Childhood Focus: Pride;x
CHILDHOOD_FOCUS_HUMILITY;Childhood Focus: Humility;x
CHILDHOOD_FOCUS_DUTY;Childhood Focus: Duty;x
CHILDHOOD_FOCUS_ETIQUETTE;Childhood Focus: Etiquette;x
CHILDHOOD_FOCUS_THRIFT;Childhood Focus: Thrift;x
CHILDHOOD_FOCUS_FAITH;Childhood Focus: Faith;x
CHILDHOOD_FOCUS_STRUGGLE;Childhood Focus: Struggle;x
CHILDHOOD_FOCUS_HERITAGE;Childhood Focus: Heritage;x
EDUCATION_FOCUS_DIPLOMACY;Education Focus: Diplomacy;x
EDUCATION_FOCUS_MARTIAL;Education Focus: Martial;x
EDUCATION_FOCUS_STEWARDSHIP;Education Focus: Stewardship;x
EDUCATION_FOCUS_INTRIGUE;Education Focus: Intrigue;x
EDUCATION_FOCUS_LEARNING;Education Focus: Learning;x
erudite;Erudite;x
erudite_desc;This character has a scholarly and bookish disposition.;x
stubborn;Stubborn;x
stubborn_desc;This character is stubborn as a mule.;x
INSULT_WINDBAG;windbag;x # male female - erudite
INSULT_BLATHERING;blathering;x # male female - erudite
INSULT_MULE;mule;x # male female - stubborn willful
INSULT_PIGHEADED;pigheaded;x # male female - stubborn willful
REMOVE_GUARDIAN_EFFECT;$GUARDIAN$ stops being the guardian of $WHO$.\n;x
ALL_CHARACTERS;All Characters;x
ALL_PROVINCES;All Counties;x
ALL_LANDED_TITLES;All Landed Titles;x
ANY_CHAR_STARTS;Any character;x
ANY_LANDED_TITLE_STARTS;Any landed title;x
LOG_IN;Log In;x
LOG_OUT;Log Out;x
NOT_LOGGED_IN;Not Logged In;x
LOGGED_IN;Logged In;x
#CREATE_ACCOUNT;Create Account;x
NEWSFEED_LOADING;Loading News Feed...;x
PARADOX_ACCOUNT;Paradox Account;x
CREATE_ACCOUNT;Create Account;x
#NAME;Name;x
PERFORMING_LOGIN;Logging in...;x
Not%authorized;§REmail or password incorrect§!;x
LOGIN_TIMEOUT;§RLogin timed out§!;x
EMAIL;Email;x
PASSWORD;Password;x
EMAIL_REQUIRED;Email§R *§!;x
EMAIL_HINT;Enter a valid email address;x
PASSWORD_REQUIRED;Password§R *§!;x
PASSWORD_HINT;Enter Password;x
REPEAT_PASSWORD_REQUIRED;Repeat Password§R *§!;x
REPEAT_PASSWORD_HINT;Repeat Password;x
LANGUAGE_REQUIRED;Language§R *§!;x
LANGUAGE_HINT;Enter Language;x
ENTER_LANGUAGE;Enter Language;x
COUNTRY_REQUIRED;Country§R *§!;x
COUNTRY_HINT;Enter Country;x
ENTER_COUNTRY;Enter Country;x
DATE_OF_BIRTH_REQUIRED;Date of birth§R *§!;x
DATE_OF_BIRTH_HINT;YYYY-MM-DD;x
FIRST_NAME;First Name;x
LAST_NAME;Last Name;x
ADDRESS;Address;x
ADDRESS_LINE_1;Address Line 1;x
ADDRESS_LINE_2;Address Line 2;x
ADDRESS_CITY;City;x
ADDRESS_CITY_HINT;Enter City/Town;x
ADDRESS_STATE;State;x
ADDRESS_STATE_HINT;Enter State;x
ADDRESS_ZIP_CODE;Zip Code;x
ADDRESS_ZIP_CODE_HINT;Enter Zip Code;x
PHONE;Phone;x
PHONE_HINT;Enter Phone/Mobile;x
ACCEPT_AND_SUBMIT;Accept and Submit;x
CLICK_TO_OPEN_IN_BROWSER;Click to open in browser:;x
HAVE_READ_TOS;I have read and agree to the Terms of Use;x
TERMS_OF_USE;Terms of Use;x
PRIVACY_POLICY;Privacy Policy;x
REQUIRED_FIELD_DESCRIPTION;§R* §! Required Field;x
ONE_MOMENT;One moment...;x
NOT_READ_TOS_ERROR;§RYou must read the Terms of Use to create an account§!;x
MISSING_REQUIRED_FIELD;§RYou are missing a required field§!;x
INVALID_EMAIL;§REmail address is not valid§!;x
PASSWORDS_DONT_MATCH;§RPasswords do not match§!;x
INVALID_PASSWORD;§RPassword is not valid§!;x
PASSWORD_DONT_MATCH;§RPasswords don't match§!;x
WRONG_DOB_FORMAT;Date of birth is not valid;x
SUCCESS_VERIFICATION_EMAIL_SENT;Account Created! A validation email has been sent to you.;x
SERVER_ERROR;Server Error;x
COULD_NOT_FIND_ACCOUNT;Could not find account.;x
EVTTITLE_ZE_8001;Spouse visit;x
MINOR_TITLE_REVOKABLE;$TITLE$ can be revoked;x
FAVOR_EXPIRES_IN;The active favor expires in $FAVOR_EXPIRATION|Y$ month(s);x
BUY_FAVOR_INTERACTION_ACCEPT_SETUP;Favor Bought;x
BUY_FAVOR_INTERACTION_ACCEPT_LOG;§Y[Actor.GetDynName]§! bought a favor from §Y[Recipient.GetDynName]§!;x
ATTRITION_WEIGHT_SELECTION;Total troops when our armies arrive: $VALUE$;x
UNITS_CROSS_WATER;$VALUE|Y$ of our selected units will cross water to reach this county;x
ALL_CROSS_WATER;§YAll§! selected armies will cross water to reach this county;x
PROVINCE_TOOLTIP_MILITARY_HEADER;Military Information;x
SEPARATOR;---;x
opinion_recently_fired;Recently Fired;x
AIREASON_USED_FAVOR;§Y[Actor.GetBestName]§! called in the favor that §Y[Recipient.GetBestName]§! owed [Actor.GetObjectPronoun];x
DIPLO_USE_FAVOR;Call in the favor §Y[Recipient.GetBestName]§! owes you to make [Recipient.GetObjectPronoun] accept;x
CANNOT_DECLINE_FAVOR;You cannot decline because §Y[Actor.GetBestName]§! called in the favor you owed [Actor.GetObjectPronoun];x
#ASK_TO_DECLARE_WAR_INTERACTION_TITLE;Ask Liege to Press Claims;x
ASK_TO_DECLARE_WAR_INTERACTION_LONG_DESC;By calling in a §YFavor§! you can ask your liege to §Ydeclare war§! and press your claims.;x
ASK_TO_DECLARE_WAR_INTERACTION_DESC;This calls in a §YFavor§! to ask your liege to §Ydeclare war§! and press your claims.;x
ASK_TO_DECLARE_WAR_INTERACTION_LETTER; I request that you repay the favor you owe me by declaring $CB$ against $RECIPIENT$. If you decline my rightful request, I will make sure the council hears of it.;x
COUNCIL_MUST_AGREE;The council must agree;x
PRESS_CLAIMS_RECENTLY_REFUSED;$LIEGE|Y$ has not recently refused to press $ACTOR|Y$'s claims;x
INTERACTION_REQUIRES_PEACE;$ATTACKER|Y$ must be at peace;x
INTERACTION_REQUIRES_NO_TRUCE;$ATTACKER|Y$ and $DEFENDER|Y$ must not have a truce;x
ENFORCEABLE_CBS;$ACTOR|Y$ must have claims that $LIEGE|Y$ can press;x
VALID_CB;$LIEGE|Y$ can press $CB|Y$;x
LIEGE_WAR_VALID;The war must be valid for $LIEGE|Y$;x
opinion_refused_press_claims;Refused to press claims;x
REFUSED_TO_PRESS_CLAIM;Refused to press claims;x
INTERACTION_FAVOR_FORCED_SETUP;Our Favor used;x
INTERACTION_FAVOR_FORCED_LOG;$ACTOR|Y$ used the §YFavor§! that $RECIPIENT|Y$ owed them to force $INTERACTION$.;x
INTERACTION_FAVOR_FORCED_LETTER;$ACTOR|Y$ used the §YFavor§! we owed them to convince us to $INTERACTION$.;x
#FAVOR_NOT_MATRILINEAL;Not a matrilineal union;x
FAVOR_INTERACTION_VALID;Interaction is valid;x
FAVOR_NOT_RULER;$TARGET|Y$ is not a ruler;x
ARMY_EXPL_DEL;Your Army Levies can be raised from your Demesne holdings and your direct vassals.\nYou pay maintenance for levies from your own holdings, but your vassals will pay for the levies they provide to you (which makes them unhappy).;x
YOU_IN_UNIT;§YRuler Present§!\nYou are currently marching with this Army, bravely risking your own life.;x
#COUNCILOR_VOTES;Council votes on $ISSUE|Y$;x
CHARACTER_POWERFUL_EXPLANATION;Is a major vassal and expects to be on §YThe Council§!;x
COUNCIL_TABS_JOBS;Positions;x
loyalist;§YLoyalist§!;x
malcontent;§YMalcontent§!;x
zealot;§YZealot§!;x
pragmatist;§YPragmatist§!;x
glory_hound;§YGlory Hound§!;x
LAWS_COUNCIL_POWER;Council Law;x
